Tobacco manufacturing,18,0,2,3,6,4,4,0,–
"Textiles, apparel, and leather manufacturing",567,7,41,93,110,146,129,40,47.1
"Fiber, yarn, and thread mills",11,0,0,1,2,5,2,1,–
"Fabric mills, except knitting mills",90,1,3,16,12,18,28,10,51.0
Textile and fabric finishing and coating mills,16,0,3,3,1,6,1,1,–
Carpet and rug mills,71,1,6,16,14,14,15,4,43.6
"Textile product mills, except carpet and rug",87,1,10,6,11,23,28,6,51.1
"Knitting fabric mills, and apparel knitting mills",15,0,2,0,4,4,4,1,–
Cut and sew apparel manufacturing,215,2,16,38,48,61,36,15,44.9
Apparel accessories and other apparel manufacturing,11,1,0,1,2,2,5,0,–
Footwear manufacturing,26,0,2,6,9,7,3,0,–
Leather tanning and finishing and other allied products manufacturing,25,0,0,7,6,5,6,1,–
Paper manufacturing and printing,875,11,52,157,187,221,201,46,46.7
"Pulp, paper, and paperboard mills",204,1,9,37,40,56,55,6,47.9
Paperboard container manufacturing,107,1,9,26,26,26,18,1,41.2
Miscellaneous paper and pulp products,71,1,2,9,14,23,20,3,51.5
Printing and related support activities,492,8,32,85,107,116,108,36,46.7
Petroleum and coal products manufacturing,193,2,9,46,54,44,33,4,43.1
Petroleum refining,163,1,8,40,49,37,26,2,42.5
Miscellaneous petroleum and coal products,29,1,1,5,5,7,7,2,–
Chemicals manufacturing,"1,426",15,91,295,346,365,271,43,43.8
"Resin, synthetic rubber and fibers, and filaments manufacturing",175,4,15,40,39,39,36,2,43.3
Agricultural chemical manufacturing,37,0,2,12,7,8,6,2,–
Pharmaceutical and medicine manufacturing,563,5,31,115,148,152,97,16,43.6
"Paint, coating, and adhesive manufacturing",78,0,5,20,15,19,17,2,43.9
"Soap, cleaning compound, and cosmetics manufacturing",149,2,14,28,40,30,28,6,42.6
Industrial and miscellaneous chemicals,424,3,24,81,97,116,87,16,44.9
Plastics and rubber products manufacturing,526,7,53,127,105,111,108,15,42.0
Plastics product manufacturing,376,5,31,84,82,91,74,10,43.1
Tire manufacturing,62,0,7,19,14,7,14,1,39.5
"Rubber product, except tire, manufacturing",87,2,15,24,9,13,19,4,36.8
,,,,,,,,,
Wholesale and retail trade,"20,270","1,243","2,812","4,604","3,559","3,563","3,154","1,335",39.4
Wholesale trade,"3,671",41,249,733,802,877,743,226,45.1
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,179,2,16,41,37,35,32,15,43.4
Furniture and home furnishing merchant wholesalers,70,0,5,12,15,19,11,9,48.2
Lumber and other construction materials merchant wholesalers,168,2,12,34,39,32,37,11,45.3
Professional and commercial equipment and supplies merchant wholesalers,331,2,13,59,79,86,73,17,46.6
"Metals and minerals, except petroleum merchant wholesalers",49,0,0,5,10,13,17,4,–
Household appliances and electrical and electronic goods merchant wholesalers,221,1,13,40,50,60,50,8,46.0
"Hardware, plumbing and heating equipment, and supplies merchant wholesalers",142,4,12,28,35,27,26,11,43.8
"Machinery, equipment, and supplies merchant wholesalers",357,3,22,70,66,89,83,25,46.6
Recyclable material merchant wholesalers,107,0,15,24,16,25,15,10,45.8
Miscellaneous durable goods merchant wholesalers,72,2,7,11,18,18,14,3,45.4
Paper and paper products merchant wholesalers,48,0,1,9,6,16,14,2,–
"Drugs, sundries, and chemical and allied products merchant wholesalers",223,1,7,35,68,57,44,12,45.4
"Apparel, piece goods, and notions merchant wholesalers",95,3,5,24,21,25,13,4,42.2
Grocery and related product merchant wholesalers,887,9,71,188,191,223,159,46,44.3
Farm product raw material merchant wholesalers,64,2,9,18,13,10,9,5,40.1
Petroleum and petroleum products merchant wholesalers,137,3,9,28,26,28,33,10,45.7
Alcoholic beverages merchant wholesalers,115,1,9,30,34,21,16,4,41.6
Farm supplies merchant wholesalers,55,1,4,12,5,14,15,4,44.7
Miscellaneous nondurable goods merchant wholesalers,191,3,14,35,44,40,42,13,44.0
Wholesale electronic markets and agents and brokers,95,1,3,17,18,27,21,8,48.0
Not specified wholesale trade,66,1,3,12,12,14,20,6,48.1
Retail trade,"16,599","1,202","2,563","3,871","2,757","2,686","2,411","1,109",37.8
Automobile dealers,"1,362",50,164,333,260,240,218,97,40.4
Other motor vehicle dealers,169,1,7,35,27,40,41,17,48.4
"Automotive parts, accessories, and tire stores",499,15,53,109,103,82,87,50,42.3
Furniture and home furnishings stores,603,18,65,143,101,115,104,56,41.8
Household appliance stores,71,2,12,13,8,12,18,6,47.0
Electronics stores,510,19,98,173,101,63,47,9,32.5
Building material and supplies dealers,"1,048",44,143,207,190,187,204,72,41.9
Hardware stores,206,18,23,39,32,35,46,14,42.9
Lawn and garden equipment and supplies stores,258,14,34,40,45,49,51,26,43.6
Grocery stores,"2,788",362,465,610,402,434,370,145,34.3
Specialty food stores,218,24,23,41,36,41,31,22,40.5
"Beer, wine, and liquor stores",122,3,15,27,24,22,23,9,42.9
Pharmacies and drug stores,949,32,146,271,183,164,105,48,37.1
"Health and personal care, except drug, stores",397,11,51,112,84,63,53,22,38.9
Gasoline stations,478,25,69,119,88,91,69,18,38.6
Clothing stores,974,121,201,257,139,119,94,43,30.9
Shoe stores,150,40,44,28,9,13,12,5,23.3
"Jewelry, luggage, and leather goods stores",177,5,28,38,26,29,28,23,43.7
"Sporting goods, and hobby and toy stores",478,45,92,106,72,74,52,37,35.0
"Sewing, needlework, and piece goods stores",41,2,3,4,8,8,11,5,–
Musical instrument and supplies stores,36,2,4,14,3,7,4,2,–
Book stores and news dealers,106,9,22,20,17,12,16,9,36.2
Department stores and discount stores,"1,921",180,391,403,281,261,266,140,35.2
Miscellaneous general merchandise stores,612,44,97,155,104,96,84,32,36.1
Retail florists,94,4,10,17,6,17,25,15,50.8
Office supplies and stationery stores,150,7,25,30,31,32,20,5,38.3
Used merchandise stores,247,20,23,37,28,42,57,41,48.8
"Gift, novelty, and souvenir shops",129,10,19,17,15,16,29,24,46.6
Miscellaneous retail stores,557,43,80,134,86,103,71,39,37.8
Electronic shopping,445,5,65,163,91,73,36,12,34.9
Electronic auctions,27,1,2,8,8,5,2,1,–
Mail-order houses,59,0,9,17,11,13,6,4,40.2
Vending machine operators,45,2,2,7,10,7,14,3,–
Fuel dealers,77,0,3,11,16,20,20,7,49.0
Other direct selling establishments,166,1,14,27,39,33,27,24,45.8
Not specified retail trade,428,21,61,106,77,70,68,25,39.0
,,,,,,,,,
Transportation and utilities,"8,551",89,551,"1,757","1,855","2,052","1,758",490,45.0
Transportation and warehousing,"7,207",82,498,"1,510","1,522","1,710","1,452",433,44.7
Air transportation,635,3,33,132,123,162,146,36,46.5
Rail transportation,224,0,11,52,65,54,35,6,42.6
Water transportation,87,0,7,24,14,16,22,3,45.0
Truck transportation,"1,985",15,88,358,435,512,439,137,46.9
Bus service and urban transit,576,2,14,76,103,145,171,65,50.8
Taxi and limousine service,689,7,32,168,155,148,122,58,44.1
Pipeline transportation,64,0,2,16,19,15,9,3,42.1
Scenic and sightseeing transportation,38,1,1,10,8,7,7,3,–
Services incidental to transportation,850,10,73,189,193,204,132,49,42.5
Postal Service,619,2,22,113,118,169,163,33,48.6
Couriers and messengers,807,26,116,202,157,165,119,21,38.6
Warehousing and storage,634,16,98,169,132,111,88,20,37.7
Utilities,"1,345",7,53,247,333,341,306,57,46.3
"Electric power generation, transmission, and distribution",718,3,27,137,188,165,172,26,45.6
Natural gas distribution,133,0,7,29,29,36,27,5,44.8
"Electric and gas, and other combinations",129,0,4,25,34,39,23,4,45.7
"Water, steam, air-conditioning, and irrigation systems",245,3,9,40,55,67,53,17,48.3
Sewage treatment facilities,96,1,4,12,23,24,26,5,49.5
Not specified utilities,24,0,1,4,3,9,5,0,–
,,,,,,,,,
Information,"2,919",67,218,755,676,633,431,139,41.3
Newspaper publishers,178,0,10,39,27,34,48,19,49.1
"Periodical, book, and directory publishers",198,0,11,42,40,53,39,13,46.3
Software publishers,86,0,2,30,21,20,10,3,40.5
Motion pictures and video industries,494,48,56,147,101,78,48,16,35.6
Sound recording industries,44,0,5,12,13,4,4,6,–
Radio and television broadcasting and cable subscription programming,550,6,44,138,131,125,77,28,41.6
Internet publishing and broadcasting and web search portals,153,0,5,71,43,24,8,2,37.2
Wired telecommunications carriers,434,1,20,97,118,118,69,11,42.7
Other telecommunications services,439,3,33,105,114,104,70,9,41.9
"Data processing, hosting, and related services",101,0,9,31,26,21,8,6,40.0
Libraries and archives,214,5,20,37,35,46,44,27,47.8
Other information services,29,1,1,8,8,5,6,0,–
,,,,,,,,,
Financial activities,"10,649",76,616,"2,393","2,402","2,404","1,992",767,44.3
Finance and insurance,"7,376",42,444,"1,762","1,741","1,661","1,322",404,43.3
Banking and related activities,"1,992",18,156,531,437,431,340,79,42.0
"Savings institutions, including credit unions",257,5,22,78,57,45,43,7,39.9
Nondepository credit and related activities,"1,004",5,64,252,243,225,163,53,42.4
"Securities, commodities, funds, trusts, and other financial investments","1,325",3,61,328,300,315,218,100,43.9
Insurance carriers and related activities,"2,797",12,141,573,704,645,558,165,44.5
Real estate and rental and leasing,"3,273",34,172,631,661,742,670,363,46.9
Real estate,"2,869",26,126,509,591,673,597,346,47.8
Rental and leasing services,405,8,46,122,70,69,73,17,40.0
Automotive equipment rental and leasing,185,2,21,63,27,26,35,12,39.2
Video tape and disk rental,8,0,1,4,1,2,0,0,–
Other consumer goods rental,106,4,17,27,17,20,19,3,39.3
"Commercial, industrial, and other intangible assets rental and leasing",106,3,7,28,26,21,19,2,41.7
,,,,,,,,,
Professional and business services,"18,950",219,"1,405","4,820","4,175","3,944","3,046","1,342",42.5
Professional and technical services,"12,105",72,751,"3,158","2,727","2,537","1,942",917,42.9
Legal services,"1,673",8,61,324,342,365,345,228,47.5
"Accounting, tax preparation, bookkeeping, and payroll services","1,131",6,77,269,223,226,200,129,44.7
"Architectural, engineering, and related services","1,767",12,117,439,340,397,331,131,44.3
Specialized design services,405,5,26,117,91,81,60,25,41.0
Computer systems design and related services,"3,339",8,186,"1,021",906,691,422,104,40.6
"Management, scientific, and technical consulting services","1,686",7,93,365,378,369,295,179,45.0
Scientific research and development services,616,7,52,169,143,116,100,30,41.3
"Advertising, public relations, and related services",629,5,47,198,137,126,85,31,40.2
Veterinary services,404,11,55,128,70,72,48,20,37.2
"Other professional, scientific, and technical services",456,3,35,128,97,94,57,41,41.7
"Management, administrative, and waste services","6,845",147,654,"1,662","1,448","1,406","1,104",424,41.8
Management of companies and enterprises,212,0,13,68,38,42,37,14,42.5
Employment services,954,18,98,257,200,179,145,56,40.3
Business support services,705,20,126,186,138,119,87,29,37.3
Travel arrangements and reservation services,290,2,19,70,49,67,50,32,45.1
Investigation and security services,839,11,107,227,153,133,141,66,40.4
Services to buildings and dwellings,"1,604",42,112,314,347,394,294,100,44.0
Landscaping services,"1,418",41,119,381,336,276,193,70,40.4
Other administrative and other support services,345,4,29,77,80,71,60,24,43.7
Waste management and remediation services,480,7,31,81,106,124,96,34,46.3
,,,,,,,,,
Education and health services,"35,043",560,"2,634","8,091","7,695","7,658","6,156","2,249",43.1
Educational services,"13,910",239,"1,032","2,859","3,144","3,225","2,453",958,43.8
Elementary and secondary schools,"9,147",92,419,"1,812","2,238","2,319","1,683",584,44.8
"Colleges, universities, and professional schools, including junior colleges","3,819",94,532,829,742,740,610,272,41.2
"Business, technical, and trade schools and training",99,2,4,23,19,25,13,12,44.9
"Other schools and instruction, and educational support services",844,52,76,195,144,141,147,89,42.2
Health care and social assistance,"21,133",320,"1,602","5,232","4,551","4,432","3,703","1,291",42.7
Hospitals,"7,108",31,483,"1,883","1,627","1,478","1,279",326,42.5
"Health services, except hospitals","10,636",183,808,"2,547","2,248","2,269","1,866",717,43.0
Offices of physicians,"1,595",8,94,392,358,338,274,131,43.5
Offices of dentists,873,10,79,226,179,179,143,57,42.0
Offices of chiropractors,145,3,11,26,34,35,24,12,43.9
Offices of optometrists,159,2,11,42,25,37,29,14,44.9
Offices of other health practitioners,355,0,14,66,76,81,72,47,47.7
Outpatient care centers,"1,904",14,144,506,430,376,325,109,42.0
Home health care services,"1,472",19,87,315,282,343,293,134,45.8
Other health care services,"1,550",16,103,406,372,338,246,70,41.9
Nursing care facilities (skilled nursing facilities),"1,652",66,177,347,331,343,297,90,41.8
"Residential care facilities, except skilled nursing facilities",930,44,88,221,162,199,164,53,42.2
Social assistance,"3,389",106,312,802,676,686,557,249,41.9
Individual and family services,"1,608",19,98,375,352,336,298,130,43.6
"Community food and housing, and emergency services",125,0,13,29,25,21,22,14,43.2
Vocational rehabilitation services,94,1,5,27,18,24,16,4,43.9
Child day care services,"1,562",86,196,372,281,306,221,100,39.5
,,,,,,,,,
Leisure and hospitality,"14,268","2,079","2,654","3,336","2,247","1,941","1,428",583,31.7
"Arts, entertainment, and recreation","3,362",318,445,806,572,524,439,259,37.6
"Independent artists, performing arts, spectator sports, and related industries",915,33,95,246,164,146,129,102,40.8
"Museums, art galleries, historical sites, and similar institutions",338,28,42,70,59,61,59,18,40.5
Bowling centers,38,8,5,7,5,6,6,1,–
"Other amusement, gambling, and recreation industries","2,072",248,303,484,343,311,244,138,35.7
Accommodation and food services,"10,905","1,762","2,209","2,530","1,675","1,417",989,324,30.4
Accommodation,"1,467",66,179,311,278,291,261,81,41.1
Traveler accommodation,"1,350",46,157,294,270,279,236,67,41.2
"Recreational vehicle parks and camps, and rooming and boarding houses",117,20,22,16,8,12,25,13,35.9
Food services and drinking places,"9,438","1,695","2,030","2,219","1,396","1,127",728,243,29.2
Restaurants and other food services,"9,190","1,688","1,995","2,116","1,359","1,093",708,231,29.1
"Drinking places, alcoholic beverages",248,7,35,103,37,34,20,12,33.5
,,,,,,,,,
Other services,"7,742",213,666,"1,630","1,511","1,635","1,394",693,43.8
"Other services, except private households","6,965",170,588,"1,507","1,378","1,450","1,247",625,43.7
Repair and maintenance,"2,189",60,205,489,437,483,383,132,42.5
Automotive repair and maintenance,"1,342",30,136,319,282,313,206,55,41.1
Car washes,194,21,32,46,31,32,23,10,36.3
Electronic and precision equipment repair and maintenance,107,1,6,25,24,19,25,8,44.9
Commercial and industrial machinery and equipment repair and maintenance,328,7,28,68,68,75,62,21,43.5
Personal and household goods repair and maintenance,210,1,3,31,31,45,63,35,52.9
Footwear and leather goods repair,7,0,0,0,1,0,4,2,–
Personal and laundry services,"2,676",63,260,636,594,531,376,217,41.5
Barber shops,123,1,10,30,31,18,15,18,42.9
Beauty salons,"1,092",22,125,265,247,214,137,82,40.7
Nail salons and other personal care services,585,8,52,143,145,128,77,32,41.1
Drycleaning and laundry services,301,9,14,64,70,77,45,22,44.0
"Funeral homes, and cemeteries and crematories",122,1,4,16,15,20,32,34,55.3
Other personal services,454,22,56,118,88,73,70,28,38.4
Membership associations and organizations,"2,101",47,123,382,347,436,488,276,48.9
Religious organizations,"1,043",20,54,155,142,199,287,186,51.9
"Civic, social, advocacy organizations, and grantmaking and giving services",815,24,59,186,159,175,139,71,44.0
Labor unions,71,0,2,10,12,18,23,6,51.4
"Business, professional, political, and similar organizations",171,3,8,31,33,44,38,13,48.4
Private households,777,43,78,122,133,185,147,68,45.2
,,,,,,,,,
Public administration,"7,419",48,299,"1,511","1,766","1,860","1,489",446,45.4
Executive offices and legislative bodies,"1,275",16,51,228,259,319,292,108,47.9
Public finance activities,340,0,6,52,71,96,87,28,49.9
Other general government and support,125,2,1,17,25,29,34,18,51.0
"Justice, public order, and safety activities","2,827",7,138,698,775,692,395,122,42.5
Administration of human resource programs,"1,097",8,35,223,249,259,244,79,46.1
Administration of environmental quality and housing programs,266,2,11,53,57,62,66,15,46.8
Administration of economic programs and space research,557,5,21,85,114,159,133,40,48.7
National security and international affairs,933,7,36,156,216,244,237,36,47.2
,,,,,,,,,
"n.e.c. = not elsewhere classified.
NOTE: Median age represents the midpoint in the age distribution such that half of workers are younger and half are older. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,,
